Symbol,n_drugs,n_interactions,drug_names,interaction_types,sources,pooled_log2FC,rem_pvalue,rem_padj,Direction,Gene_Family,is_hub,Priority
RGS4,102,102,"DIGOXIN; AC55649; CHEMBL:CHEMBL601364; TYRPHOSTIN A9; METHYSERGIDE; DAPH; CISPLATIN; PROPENTOFYLLINE; FLUPIRTINE; AURINTRICARBOXYLIC ACID; IPA-3; TPCK; PYRROLIDINE DITHIOCARBAMATE; AMITRIPTYLINE HYDROCHLORIDE; EBSELEN; 5-HYDROXYTRYPTOPHAN; CHEMBL:CHEMBL1256813; NORTRIPTYLINE; DIAMIDE; METHYLDOPA ANHYDROUS; TRIMIPRAMINE; CAMBINOL; 2MESATP; CAPSAZEPINE; HELENALIN; BROMOENOL LACTONE; OLANZAPINE; GW7647; BRIMONIDINE; LANSOPRAZOLE; SCH-23390; DOCOSAPENTAENOIC ACID; RISPERIDONE; ROTTLERIN; TRIFLUOPERAZINE; LAPACHONE; URIDINE MONOPHOSPHATE; CHEMBL:CHEMBL1256364; SANGUINARIUM; CHEMBL:CHEMBL145725; BAY-11-7085; SB-415286; DEQUALINIUM; PROCATEROL; ZIPRASIDONE; MITOXANTRONE; CHEMBL:CHEMBL56393; BENSERAZIDE; PALMITOYL-CARNITINE; DOXEPIN HYDROCHLORIDE; 4-CHLOROMERCURIBENZOIC ACID; 3,4-DICHLOROISOCOUMARIN; NS-398; GOSSYPOL; XCT790; PERPHENAZINE; RS67506; SALAGEN; PODOCARIC ACID; GW5074; 2-IODOACETAMIDE; BEMESETRON; PHLORETIN; CHELERYTHRINE; VANOXERINE; DIMETHYLPINOCEMBRIN; 5'-GUANIDINONALTRINDOLE; TYRPHOSTIN 23; 5-HYDROXYFLAVONE; 5-HYDROXYINDOLEACETIC ACID; DEPHOSTATIN; AM251; PICEATANNOL; METHYLERGONOVINE; CALCIMYCIN; QUINACRINE; CHEMBL:CHEMBL578741; MONOAMINE OXIDASE INHIBITOR; PROTOPORPHYRIN; CHEMBL:CHEMBL548017; MRS1220; LEUKOTRIENE D4; SYK INHIBITOR III; QUETIAPINE FUMARATE; LINSIDOMINE; MASOPROCOL; LEUCINE; DOCEBENONE; MK-212; DESIPRAMINE; D-ALANINE; CHEMBL:CHEMBL429095; CHEMBL:CHEMBL484662; BAY 11-7082; CLOMIPRAMINE; LUZINDOLE; 2-CHLOROADENOSINE-5-TRIPHOSPHATE; DISULFIRAM; METHYLDOPA (RACEMIC); D-TRYPTOPHAN; NIFEDIPINE; TYRPHOSTIN AG 879","",DTC; PharmGKB,1.16790113097665,0.000470053233914999,0.0125893550477335,Up,Other,FALSE,Medium
TSHR,94,94,"PENTACHLOROPHENOL; THYROTROPIN ALFA; CILOSTAZOL; ALPHA-NAPHTHOFLAVONE; GRAMINE; TESTOSTERONE PROPIONATE; SB 222200; URAPIDIL; CHEMBL:CHEMBL312032; CHEMBL:CHEMBL578276; CHEMBL:CHEMBL606166; AM-630; CHEMBL:CHEMBL607309; LEVALBUTEROL; CHEMBL:CHEMBL140220; ICI-199441; LASALOCID A SODIUM; CLOSANTEL; DIPYRIDAMOLE; ANTISERUM; ISOPROTERENOL; SEROTONIN; NMDA; BERGAMOTTIN; 3,6-DIMETHOXYFLAVONE; L-733,060; TYRPHOSTIN AG 879; CARBONYL CYANIDE M-CHLOROPHENYLHYDRAZONE; CP-339818; DICHLOROPHEN; CLORGILINE; DEXPROPRANOLOL; TYRPHOSTIN A9; CHEMBL:CHEMBL429095; CLIOXANIDE; PIPERONYL BUTOXIDE; CHEMBL:CHEMBL1456848; KARANJIN; THYROTROPIN; KINETIN; LOBARIC ACID; (S)-FLUOXETINE; CHEMBL:CHEMBL249190; LONIDAMINE; MAPROTILINE; LORATADINE; CAMBINOL; LOPERAMIDE; DEGUELIN; PSORA-4; SCH-23390; CHEMBL:CHEMBL505670; 1,3-DITOLYLGUANIDINE; CHEMBL:CHEMBL601146; BISACODYL; CLOTRIMAZOLE; CHEMBL:CHEMBL584905; ENDRIN; RAFOXANIDE; SULFISOXAZOLE; 2,4-DIACETYLPHLOROGLUCINOL; LY-255283; CHLORDANE; [125I]TSH (HUMAN); (R)-FLECAINIDE; CHEMBL:CHEMBL530361; ATOMOXETINE HYDROCHLORIDE; COUMARIN-3-CARBOXYLIC ACID; (S)-VERAPAMIL; INDOMETHACIN MORPHOLINYLAMIDE; CHEMBL:CHEMBL581194; 4-CHLORO-BENZOIC ACID; 1R,9S-HYDRASTINE; CHEMBL:CHEMBL597246; GM-CSF; [3H]D-ASPARTIC ACID; CHEMBL:CHEMBL1611308; (-)-U-50488; GW405833; COMPOUND 8B [PMID: 22408719]; SB 218795; SIBUTRAMINE HYDROCHLORIDE; PNU-37883; CHEMBL:CHEMBL457504; DECANOIC ACID; METHYLENE BLUE ANHYDROUS; NICLOSAMIDE; SR59230A; CHEMBL:CHEMBL278751; HEXACHLOROPHENE; DINOPROSTONE; CHEMBL:CHEMBL577660; THERAPEUTIC GLUCOCORTICOID; JWH015",; agonist,DTC; TEND; TTD; TdgClinicalTrial; ChEMBL; GuideToPharmacology; NCI; TTD; ChEMBL; GuideToPharmacology,-1.40171091813285,0.00113804412474666,0.022300000588367,Down,Other,FALSE,Medium
RORC,92,92,"E319; AFIMOXIFENE; DACTINOMYCIN; CYCLOHEXIMIDE; DICHLOROPHEN; RHEIN; DICHLORODIPHENYLDICHLOROETHYLENE; ENDRIN; DIETHYLSTILBESTROL; AZD0284; JTE-151; PHENFORMIN HYDROCHLORIDE; DICYCLOHEXYLCARBODIIMIDE; TAK-828F; CHEMBL:CHEMBL443949; CETYLPYRIDINIUM BROMIDE; CARMINE; MELPHALAN; LOVASTATIN; TAMOXIFEN CITRATE; PYRITHIONE ZINC; GENTIAN VIOLET CATION; ETHACRYNIC ACID; COLCHICINE; ZEARALENONE; PHENOLPHTHALEIN; 2,4-DINITROPHENOL; RIBAVIRIN; FLUTAMIDE; KEPONE; CHLOROTRIANISENE; HYDROQUINONE; NELFINAVIR MESYLATE; TRICLOFENOL; ZERANOL; CAPTAN; BITHIONOL; MEDROXYPROGESTERONE ACETATE; DAUNORUBICIN HYDROCHLORIDE; DIGOXIN; DINITRO CRESOL; METHYLTESTOSTERONE; OMEGA-CHLOROACETOPHENONE; GUGGULSTERONE; CADMIUM DICHLORIDE; HEXACHLOROPHENE; PHENYLMERCURIC ACETATE; POTASSIUM DICHROMATE; MITOTANE; CLIOQUINOL; CHOLECALCIFEROL; OXYQUINOLINE; ACTEIN; THIRAM; STANOLONE; ALDRIN; ZIRAM; CHLORHEXIDINE GLUCONATE; EMODIN; GSK2981278; MECHLORETHAMINE HYDROCHLORIDE; CHEMBL:CHEMBL329673; BENZETHONIUM CHLORIDE; ANDROSTENEDIONE; CHEMBL:CHEMBL220845; DOMIPHEN BROMIDE; CHLORAMBUCIL; PROGESTERONE; 2,4-HEXADIENAL; 1,10-PHENANTHROLINE; CHEMBL:CHEMBL453797; CATECHOL; ENDOSULFAN; FENRETINIDE; NIFEDIPINE; CINTIRORGON; ESTRADIOL VALERATE; CELECOXIB; MERCURIC CHLORIDE; CHEMBL:CHEMBL320361; PENTACHLOROPHENOL; METHOXYCHLOR; FENTICLOR; CUMENE HYDROPEROXIDE; TESTOSTERONE; AZACITIDINE; TO-901317; CHLORDANE; 4-NONYLPHENOL; TRITON X; CHEMBL:CHEMBL354318; NITROFURANTOIN, MACROCRYSTALS",; inhibitor,DTC; TTD; ChEMBL,-1.05052438902959,0.00254858106693869,0.0365981898680271,Down,Other,FALSE,Medium
ABAT,87,87,"LUF5962; MRE 3008F20; LUF5981; 5-CL-5-DEOXY-(&PLUSMN;)-ENBA; 3-ISOBUTYL-1-METHYL-7H-XANTHINE; MRE 2029F20; TIAGABINE HYDROCHLORIDE; DP-VPA; PENECA; COMPOUND 10 [PMID: 31306001]; ST-1535; (S)-PIA; VALPROIC ACID; PICLIDENOSON; SCH442416; VIGABATRIN; CGS 15943; CPFPX; 4-{2-[(7-AMINO-2-FURAN-2-YL[1,2,4]TRIAZOLO[1,5-A][1,3,5]TRIAZIN-5-YL)AMINO]ETHYL}PHENOL; MRS5151; LUF5831; MRS1191; FK-453; 2-CHLOROADENOSINE; AS100; DERENOFYLLINE; CGS 21680; IMARADENANT; 4-HYDROXYBENZALDEHYDE; SCH 58261; MRS3558; REGADENOSON ANHYDROUS; AS99; LUF7602; MRS7469; XANTHINE AMINE CONGENER; ADENOSINE; CAPADENOSON; NECA; CVT-6883; BAY 60-6583; CYCLOPENTYLADENOSINE; AS70; L-97-1; KF26777; HEMADO; CP608,039; CPP-115; APADENOSON; PRELADENANT; (R)-PIA; 8-CYCLOPENTYLTHEOPHYLLINE; PSB1115; 2-HEXYNYL-NECA; VIPADENANT; PD81723; PSB603; ISTRADEFYLLINE; NAMODENOSON; NELADENOSON; MRS1523; PSB-11; MEFLOQUINE; WRC-0571; VPC171; [3H]DPCPX; TCPA; CAFFEINE; ATL802; LAS38096; PYRUVIC ACID; CCPA; DU172; TONAPOFYLLINE; PYRIDOXAL PHOSPHATE ANHYDROUS; BINODENOSON; (R,S)-PHPNECA; MRS1754; ALANINE; PSB-10; DPCPX; MSX-2; FR194921; THEOPHYLLINE; ROLOFYLLINE; DIVALPROEX SODIUM; GS9667",inhibitor; agonist; ; modulator,GuideToPharmacology; TEND; TdgClinicalTrial; TdgClinicalTrial; TEND; TdgClinicalTrial; PharmGKB; DTC; TEND; TTD; TdgClinicalTrial; ChEMBL; TTD; TEND; TTD; TdgClinicalTrial,-1.69156874647611,6.8490448949718e-05,0.00342646085641844,Down,Other,FALSE,Medium
TUBB3,83,83,T-900607; LEXIBULIN; PACLITAXEL DOCOSAHEXAENOIC ACID; PACLITAXEL POLIGLUMEX; DOCETAXEL ANHYDROUS; COMBRETASTATIN A4; COLCHICINE; ADO-TRASTUZUMAB EMTANSINE; KOS-1584; ERIBULIN MESYLATE; ENAPOTAMAB VEDOTIN; TUSAMITAMAB RAVTANSINE; ANG1005; MILATAXEL; DAVUNETIDE; CHEMBL:CHEMBL2036124; CABAZITAXEL; OMBRABULIN; POLATUZUMAB VEDOTIN; LARGAZOLE; FOSBRETABULIN DISODIUM; PINATUZUMAB VEDOTIN; EPOTHILONE D; VORINOSTAT; TELISOTUZUMAB VEDOTIN; ASG-5ME; INDUSATUMAB VEDOTIN; CHEMBL:CHEMBL1935538; AGS-16C3F; VERUBULIN; BMS-275183; VINCRISTINE; VINBLASTINE; IXABEPILONE; PRALUZATAMAB RAVTANSINE; NOCODAZOLE; CHEMBL:CHEMBL453818; RG-7600; MAYTANSINOL; DOLASTATIN-10; ANVATABART OPADOTIN; VINFLUNINE; CYCLOSTREPTIN; GLEMBATUMUMAB VEDOTIN; INDIBULIN; AZINTUXIZUMAB VEDOTIN; RG-7636; BIVATUZUMAB MERTANSINE; BRENTUXIMAB VEDOTIN; ENFORTUMAB VEDOTIN; VINORELBINE; VINORELBINE TARTRATE; VANDORTUZUMAB VEDOTIN; LORVOTUZUMAB MERTANSINE; PODOFILOX; CHEMBL:CHEMBL2036119; LADIRATUZUMAB VEDOTIN; FOSBRETABULIN TROMETHAMINE; VINFLUNINE DITARTRATE; APRUTUMAB IXADOTIN; CURCUMIN; PLINABULIN; PLOCABULIN; BELANTAMAB MAFODOTIN; CROLIBULIN; PF-06263507; MIRVETUXIMAB SORAVTANSINE; ABT-751; VINBLASTINE SULFATE; LIFASTUZUMAB VEDOTIN; MAYTANSINE; PATUPILONE; ZAMPANOLIDE; SAGOPILONE; CANTUZUMAB MERTANSINE; RG-7841; SOFITUZUMAB VEDOTIN; PACLITAXEL; LAROTAXEL; CHEMBL:CHEMBL1795737; VINCRISTINE SULFATE; SOBLIDOTIN; TISOTUMAB VEDOTIN,negative modulator; inhibitor; modulator; ,ChEMBL; ClearityFoundationBiomarkers; ChEMBL; DTC; DTC; ChEMBL; TdgClinicalTrial; ChEMBL; CGI; ClearityFoundationBiomarkers; DTC; ChEMBL,1.8598298313784,2.34301395963665e-15,4.65937613548244e-12,Up,Other,FALSE,Medium
PTGS1,82,82,"APAZONE; MECLOFENAMATE; DICLOFENAC SODIUM; SUPROFEN; SALSALATE; ESFLURBIPROFEN; KETOROLAC TROMETHAMINE; ETODOLAC; VB-201; BROMFENAC SODIUM; INDOMETHACIN SODIUM; SULFASALAZINE; NAPROXEN SODIUM; GLAFENINE; LOXOPROFEN; PIRPROFEN; DEXIBUPROFEN; CLOMETACIN; DEXKETOPROFEN; DICLOFENAC ETALHYALURONATE SODIUM; NEPAFENAC; FLURBIPROFEN SODIUM; E163; PHENYLBUTAZONE; MEFENAMIC ACID; DIFLUNISAL; NABUMETONE; BENZYDAMINE HYDROCHLORIDE; DERSALAZINE; ISOXICAM; MOFEZOLAC; TOLMETIN; NAPROXEN ETEMESIL; INDOMETHACIN; OLSALAZINE SODIUM; KETOPROFEN; SULINDAC; CELECOXIB; TOLMETIN SODIUM; DICLOFENAC EPOLAMINE; GINGER ALLERGENIC EXTRACT; FENOPROFEN; FENOPROFEN CALCIUM; IBUPROFEN LYSINE; CURCUMIN PYRAZOLE; INDOPROFEN; CLOPIDOGREL; ALCLOFENAC; OXYPHENBUTAZONE; MECLOFENAMATE SODIUM; FENCLOFENAC; BISMUTH SUBSALICYLATE; OXAPROZIN POTASSIUM; MAVACOXIB; OXAPROZIN; URSOLIC ACID; HYDROCHLOROTHIAZIDE; TEPOXALIN; ROFECOXIB; DICLOFENAC POTASSIUM; TENOXICAM; FLURBIPROFEN; IBUPROFEN, SODIUM SALT; BALSALAZIDE DISODIUM; IBUFENAC; BALSALAZIDE; ANTIVIRAL AGENT; ACETAMINOPHEN; ALOXIPRIN; BROMFENAC; DIPYRONE; NITRIC OXIDE-RELEASING ACETYLSALICYLIC ACID DERIVATIVE; NAPROXCINOD; SALICYLIC ACID; PIROXICAM-BETA-CYCLODEXTRIN; CURCUMIN; ASPIRIN; LORNOXICAM; BENZYDAMINE; ANTIPYRINE; ACEMETACIN; MESALAMINE",inhibitor; ,ChEMBL; TEND; TdgClinicalTrial; TEND; TdgClinicalTrial; ChEMBL; TdgClinicalTrial; TdgClinicalTrial; ChEMBL; DTC; TEND; DTC; ChEMBL; PharmGKB; NCI; TEND; ChEMBL; TEND; TdgClinicalTrial; PharmGKB; DTC; ChEMBL; TEND; TdgClinicalTrial; DTC; ChEMBL,1.27077316325761,0.00165081124554857,0.0280285550751678,Up,Other,FALSE,Medium
GRIN1,48,50,COMPOUND 53 [PMID: 33038794]; PAREGORIC; STING AGONIST 2; LATREPIRDINE; CNS-5161; MEMANTINE HYDROCHLORIDE; LANICEMINE; ULEVOSTINAG; ELIPRODIL; NBQX; RAPASTINEL; DEXANABINOL; NEBOGLAMINE; HALOPERIDOL DECANOATE; ORPHENADRINE; GW468816; ACAMPROSATE CALCIUM; AMANTADINE HYDROCHLORIDE; H-151; D-SERINE; AZD8108; KETAMINE HYDROCHLORIDE; DELUCEMINE; EVT-101; MSA-2; ESKETAMINE HYDROCHLORIDE; 2'3'-CGAMP; COMPOUND 40 [PMID: 33470814]; PHILANTHOTOXIN 343; FELBAMATE; INDANTADOL; STING AGONIST 3; ORPHENADRINE HYDROCHLORIDE; CYCLOSERINE; RADIPRODIL; PERZINFOTEL; ESKETAMINE; ADU-S100; RALFINAMIDE; SNX281; AV-101; DIZOCILPINE; APIMOSTINEL; TRAXOPRODIL; NERAMEXANE MESYLATE; DIABZI-4; ORPHENADRINE CITRATE; RISLENEMDAZ,agonist; ; blocker; negative modulator; positive modulator; inhibitor,GuideToPharmacology; NCI; TdgClinicalTrial; TdgClinicalTrial; ChEMBL; DTC; ChEMBL; TTD; ChEMBL; PharmGKB; TEND; TdgClinicalTrial; DTC,1.41393159921896,0.00305634481942005,0.0408943563769164,Up,Other,FALSE,Medium
ROS1,47,48,CERITINIB; CABOZANTINIB S-MALATE; CRIZOTINIB; TAMATINIB; ERLOTINIB; LORLATINIB; OSIMERTINIB; BRIGATINIB; FORETINIB; PEMETREXED DISODIUM; NEFLAMAPIMOD; TALETRECTINIB; ALISERTIB; ZIDESAMTINIB; JNJ-7706621; HESPERADIN; CP-547632; SNS-314; PEMBROLIZUMAB; ALK INHIBITOR TAE684; PF-562271; AZD3463; SB202190; ILORASERTIB; RG-1530; PACLITAXEL; BATOPROTAFIB; ALK INHIBITOR ASP3026; IRUPLINALKIB; AST-487; TOZASERTIB; SELUMETINIB; CARBOPLATIN; GEFITINIB; REPOTRECTINIB; TAFENOQUINE; CENISERTIB; ENTRECTINIB; AFATINIB; ALECTINIB; MLN-8054; SODIUM PYRUVATE; PROCYSTEINE; UNECRITINIB; CYC-116; ALK/C-MET INHIBITOR TQ-B3139; CEMIPLIMAB,; inhibitor,CGI; CIViC; CKB-CORE; CGI; TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; CIViC; DoCM; PharmGKB; OncoKB; CancerCommons; TALC; FDA; CKB-CORE; DTC; CKB-CORE; CGI; TTD; CIViC; PharmGKB; FDA; CKB-CORE; CIViC; CKB-CORE; CIViC; ChEMBL; CKB-CORE; TTD; CancerCommons; TTD; CIViC; PharmGKB; ChEMBL; CKB-CORE; TTD; PharmGKB; ChEMBL; FDA; CKB-CORE; PharmGKB,3.21355229377645,1.70355511857295e-11,1.5056587989654e-08,Up,Kinase,FALSE,Medium
CCKBR,44,44,"[3H]L365260; GASTRIN-71; GW-5823; [3H]GASTRIN; GASTRIN-14; JNJ-26070109; CERULETIDE; SPIROGLUMIDE; LORGLUMIDE; NETAZEPIDE; AG-041R; PENTAGASTRIN; AZD-4017; CCK-33; CCK-4; GASTRIN-34; L-740093; ITRIGLUMIDE; YM-022; LY-288513; OLANZAPINE; DESULFATED GASTRIN-17; TETRONOTHIODIN; Z-360; PAREGORIC; DESULFATED GASTRIN-34; DESULFATED GASTRIN-14; INOSITOL; BENZODIAZEPINE; SINCALIDE; DEVAZEPIDE; [125I]GASTRIN; CLOZAPINE; GV150013; PD-135158; [125I]DTYR-GLY-[(NLE28,31)CCK-26-33; CI-988; A-71378; DIAZEPAM; [125I]-BDZ2; PD-170292; DESULFATED CHOLECYSTOKININ-8; PROGLUMIDE; DESULFATED GASTRIN-71",inhibitor; agonist; ,DTC; GuideToPharmacology; GuideToPharmacology; TTD; GuideToPharmacology; TTD; TTD; ChEMBL; GuideToPharmacology; TEND; TTD; TdgClinicalTrial; DTC; TTD; ChEMBL; PharmGKB; NCI; ChEMBL; GuideToPharmacology; ChEMBL,-3.02691222262333,1.30171534692656e-05,0.000982705147355302,Down,Other,FALSE,Medium
AMY2B,38,38,"COMPOUND 17 [PMID: 17125263]; MCH6-17; [3H]SNAP-7941; [125I](3-IODO-TYR13)-MCH; MCH (SALMON); ATC0175; SB-568849; S36539; COMPOUND 2 [PMID: 11375253]; S36057; PYRROLIDINE MCHR1 ANTAGONIST 1; ATC0065; P-GUANIDINOBENZOYL-MCH-(7-17); TETRALIN_UREA ANALOGUE (7O); T-226296; AC-HMCH-(6-16)-NH2; MQ1; COMPOUND (R)-10H [PMID: 22490048]; VARIANT MCH; S38151; MELANIN-CONCENTRATING HORMONE; [3H]MCH (HUMAN, MOUSE, RAT); S36541; S36540; [PHE13,TYR19]MCH; [125I]S36057; SNAP-7941; GW803430; C3; [125I][PHE13,TYR19]MCH; AZ13483342; [AVA9,10,AVA14,15]-AC-HMCH6-16-NH2; COMPOUND 4B [PMID: 19683441]; [125I]MCH (HUMAN, MOUSE, RAT); S36077; 4-ARYLPHTHALAZIN-1(2H)-3,4-DI-F; 7-FLUOROCHROMONE-2-CARBOXAMIDE; TPI 1361-17",inhibitor; agonist; modulator,GuideToPharmacology,-2.86776561821109,0.000332996379532663,0.00991321128322568,Down,Other,FALSE,Medium
PKM,36,36,CHEMBL:CHEMBL261693; SANGUINARIUM; PYRUVATE KINASE INHIBITOR TLN-232; CHEMBL:CHEMBL599013; CIS-RESVERATROL; SILVER SULFADIAZINE; TT-232; THIRAM; CHEMBL:CHEMBL473721; ERBSTATIN; CHEMBL:CHEMBL595227; INDIRUBIN-3'-MONOXIME; CHEMBL:CHEMBL1333049; CHEMBL:CHEMBL1091502; PD-98059; EBSELEN; CHEMBL:CHEMBL1214407; CHEMBL:CHEMBL1303948; CHEMBL:CHEMBL1093369; CHEMBL:CHEMBL429335; TYRPHOSTIN B48; PSEUDOEPHEDRINE; 3-HYDROXYBENZYLHYDRAZINE; SB 206553; DECYNIUM 22; CHEMBL:CHEMBL585265; NICLOSAMIDE; CHEMBL:CHEMBL125044; CHEMBL:CHEMBL408850; 4-CHLOROMERCURIBENZOIC ACID; TRANILAST; HYDRALAZINE; CHEMBL:CHEMBL154580; CHEMBL:CHEMBL584458; AMLEXANOX; NITAZOXANIDE,"",DTC; TTD; TdgClinicalTrial,1.08849929852528,0.000295542624260076,0.00923730375118576,Up,Other,FALSE,Medium
RUNX1,35,35,"JUGLONE; DEPHOSTATIN; DISULFIRAM; SHIKONIN; CHEMBL:CHEMBL260311; CHEMBL:CHEMBL533226; IRIGINOL HEXAACEATATE; 1,10-PHENANTHROLINE; QUINOLINIC ACID; AURINTRICARBOXYLIC ACID; WEDELOLACTONE; TAMOXIFEN CITRATE; FUMARPROTOCETRARIC ACID; PURPUROGALLIN; &ALPHA;-ERGOCRYPTINE; APOMORPHINE HYDROCHLORIDE HEMIHYDRATE; CHEMBL:CHEMBL1601846; FUSARIC ACID; DAUNORUBICIN LIPOSOMAL; ERGOCORNINE; CHEMBL:CHEMBL1341830; ELLAGIC ACID; HOMIDIUM BROMIDE; IRIGENOL; TOLONIUM CHLORIDE; DIPYRIDYL; CHEMBL:CHEMBL313737; CHEMBL:CHEMBL211670; CETIRIZINE HYDROCHLORIDE; PYROGALLOL; L-NOREPINEPHRINE; METHACHOLINE CHLORIDE; CYTARABINE HYDROCHLORIDE; IMATINIB; CYTARABINE","",DTC; PharmGKB; NCI; CIViC,1.22685324476626,0.0013102605353301,0.0241482908253233,Up,Other,FALSE,Medium
GLRA1,34,34,"ISOFLURANE; PMBA; GINKGOLIDE X; THIOCOLCHICOSIDE; GINKGOLIDE B; LIGELIZUMAB; PICROTOXININ; HALOTHANE; (12E,20Z,18S)-8-HYDROXYVARIABILIN; METHOXYFLURANE; CYANOTRIPHENYLBORATE; BILOBALIDE; NIFEDIPINE; STRYCHNINE; ZN2+; TROPISETRON; YH35324; H+; COLCHICINE; WIN55212-2; QUILIZUMAB; PICROTOXIN; CU2+; PICROTIN; HU-210; ANANDAMIDE; SEVOFLURANE; DRONABINOL; PREGNENOLONE SULPHATE; DESFLURANE; OMALIZUMAB; ONTERNABEZ; ENFLURANE; D-SERINE",positive modulator; inhibitor; ; blocker; antibody; agonist; modulator,TEND; TdgClinicalTrial; ChEMBL; GuideToPharmacology; TTD; ChEMBL; DTC; DTC; GuideToPharmacology,-1.71005311198968,1.39877582836143e-09,6.34127197699695e-07,Down,Other,FALSE,Medium
CDKN2A,28,28,"RIBOCICLIB; PACLITAXEL; ULIXERTINIB; ALVOCIDIB; PF-04691502; ILORASERTIB; VEMURAFENIB; RONICICLIB; CETUXIMAB; SAPANISERTIB; TEMOZOLOMIDE; PF-00477736; HMN-214; MILCICLIB; POLO-LIKE KINASE 1 INHIBITOR GSK461364; COBIMETINIB; GEMCITABINE; PANITUMUMAB; BUPARLISIB; (10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE; SIROLIMUS; CARBOPLATIN; PALBOCICLIB; EVEROLIMUS; LETROZOLE; TRAMETINIB DIMETHYL SULFOXIDE; DABRAFENIB; ABEMACICLIB","",ClearityFoundationBiomarkers; OncoKB; CKB-CORE; CKB-CORE; CGI; CIViC; CKB-CORE; ClearityFoundationBiomarkers; CIViC; CIViC; ClearityFoundationBiomarkers; PharmGKB; OncoKB; CKB-CORE,1.75988656335668,1.0566315421613e-08,3.29606886357727e-06,Up,Kinase,FALSE,Medium
DPYSL3,23,23,"NINTEDANIB ESYLATE; FUTIBATINIB; BEMARITUZUMAB; FANREGRATINIB; PRN1371; BLU-9931; ZOLIGRATINIB; TASURGRATINIB; MK-2461; RESIGRATINIB; LY2874455; PEMIGATINIB; METHIMAZOLE; ERDAFITINIB; LIRAFUGRATINIB; COMPOUND 29 [PMID: 36356320]; COMPOUND 7 [NGUYEN ET AL., 2023]; INFIGRATINIB; PALIFERMIN; ALOFANIB; DERAZANTINIB; FEXAGRATINIB; SEGIGRATINIB",inhibitor; antibody; ; agonist; modulator,GuideToPharmacology; NCI,1.21532262457651,0.000386616114567779,0.0110029977936651,Up,Other,FALSE,Medium
EDNRA,22,23,NEBENTAN; ATRASENTAN; TBC-3711; CLAZOSENTAN; AMBRISENTAN; MACITENTAN; SITAXENTAN SODIUM; DARUSENTAN; BOSENTAN ANHYDROUS; ENRASENTAN; ZIBOTENTAN; FR139317; AVOSENTAN; SPARSENTAN; BQ-123; PREDNISONE; ATRASENTAN HYDROCHLORIDE; TEZOSENTAN; ENDOTHELIN-1; SOVATELTIDE; SITAXENTAN; APROCITENTAN,; inhibitor,TTD; TdgClinicalTrial; TTD; TTD; TdgClinicalTrial; ChEMBL; TEND; TTD; TdgClinicalTrial; ChEMBL; ChEMBL; MyCancerGenomeClinicalTrial; TdgClinicalTrial; TALC; ChEMBL; TdgClinicalTrial; ChEMBL; TTD; ChEMBL; PharmGKB; TdgClinicalTrial,1.22044764957937,0.00343740818592858,0.0446122386986512,Up,Other,FALSE,Medium
ARG1,21,21,UCL1684; EBIO; RA-2; APAMIN; CHEMBL:CHEMBL1099168; DEQUALINIUM; DC-EBIO; GLYCEROL PHENYLBUTYRATE; TETRAMETHYLAMMONIUM; P05; SILDENAFIL; TROPICAMIDE; NS309; NS8593; CHEMBL:CHEMBL1099167; CA2+; SKA-31; LEIUROTOXIN I; LEI-DAB7; CYPPA; RILUZOLE,inhibitor; activator; ; blocker,GuideToPharmacology; DTC; PharmGKB,-1.74006287932609,1.05949332629229e-05,0.000838581061093735,Down,Other,FALSE,Medium
F11,21,21,EP-7041; ANTITHROMBIN ALFA; ABELACIMAB; SGI-1776; AZD1208; UZANSERTIB; PIM447; HUMAN C1-ESTERASE INHIBITOR; SULFATED PENTAGALLOYLGLUCOSIDE; COMPOUND 20 [PMID: 22136433]; DAPOLSERTIB; NUVISERTIB; DEXTRAN SULFATE; LGB321; THROMBIN; CX-6258; MILVEXIAN; COMPOUND 1A [PMID: 24900749]; GDC-0339; OSOCIMAB; COMPOUND 14K [PMID: 21982499],; inhibitor; negative modulator,TTD; TdgClinicalTrial; ChEMBL; GuideToPharmacology; DTC; NCI,-2.35735010432426,0.000521478847288669,0.0135490782168219,Down,Other,FALSE,Medium
HPSE,18,18,"REL-CISAPRIDE; HESPERIDIN; CHEMBL:CHEMBL375673; HEPARIN; PIXATIMOD; HEPARAN SULFATE; THROMBIN; METERGOLINE; ASTEMIZOLE; SURAMIN; AMOPYROQUINE; RECOMBINANT TRANSFORMING GROWTH FACTOR; NARINGIN; MUPARFOSTAT; ANTIESTROGEN; LABETALOL; 2-O, 3-O DESULFATED HEPARIN; AMODIAQUINE HYDROCHLORIDE",; inhibitor,DTC; TdgClinicalTrial; TTD; TdgClinicalTrial; NCI; TTD; TdgClinicalTrial; ChEMBL,1.08357540972201,0.000288864886391875,0.0091001019358581,Up,Other,FALSE,Medium
